            chr   pos   lod
7_7311056     1 33.36 0.920
c2.loc47      2 47.00 1.243
3_5645733     3 33.15 1.244
4_22218751    4 66.69 2.901
5_2074832     5  6.43 0.825
c6.loc48      6 48.00 1.670
c7.loc45      7 45.00 0.818
c8.loc60      8 60.00 1.142
9_13407438    9 50.03 1.159
17_17189416  10  0.00 1.008
c11.loc49    11 49.00 1.484
12_22693791  12 85.49 0.870
c13.loc8     13  8.00 2.088
14_788160    14  0.00 0.620
15_584182    15  0.00 1.393
16_1261805   16  3.02 0.532
c17.loc4     17  4.00 6.760
c18.loc64    18 64.00 1.773
19_24491792  19 60.37 0.846
