            chr    pos   lod
c1.loc15      1 15.000 1.307
c2.loc1       2  1.000 1.322
c3.loc18      3 18.000 1.346
c4.loc17      4 17.000 1.029
5_262303      5  0.000 0.707
c6.loc13      6 13.000 1.355
5_12880208    7 53.806 1.057
8_15007979    8 54.794 0.519
16_11684813   9 25.956 1.594
10_402217    10  0.776 3.470
c11.loc14    11 14.000 1.100
c12.loc44    12 44.000 0.554
c13.loc91    13 91.000 0.986
14_14133313  14 32.579 1.956
2_16557224   15  0.000 2.642
13_3252820   16 43.734 0.786
c17.loc21    17 21.000 0.782
16_8638511   18 97.090 0.522
c19.loc54    19 54.000 0.912
