"","chr","pos","lod"
"1_61235","1",0,0.945505216248421
"c1.loc1","1",1,0.645603389216859
"c1.loc2","1",2,0.351980238800422
"1_929902","1",2.159001,0.398731954900057
"1_666584","1",2.722002,0.87713530013059
"c1.loc3","1",3,0.886356028035436
"1_695458","1",3.271003,0.887290164195548
"1_666669","1",3.450004,0.88728930399941
"1_659894","1",3.682005,0.835916804873193
"c1.loc4","1",4,0.860490929867183
"c1.loc5","1",5,0.784018717770095
"c1.loc6","1",6,0.000241433538406
"c1.loc7","1",7,0.205291086485488
"1_1688964","1",7.125006,0.228429726876897
"c1.loc8","1",8,0.0894224183044514
"c1.loc9","1",9,0.0678508328792304
"c1.loc10","1",10,0.948975654187393
"c1.loc11","1",11,1.02149573789728
"c1.loc12","1",12,0.920357772723236
"1_2533272","1",12.043007,0.916675548121901
"1_2537093","1",12.046008,0.91673260461647
"1_2533185","1",12.046009,0.916732519782215
"1_2880124","1",12.72101,0.902491962748456
"c1.loc13","1",13,0.801598616971063
"1_3062243","1",13.423011,0.637954449162407
"1_3025844","1",13.477012,0.641050011247074
"c1.loc14","1",14,0.620012596618494
"1_3466266","1",14.151013,0.61166314234012
"c1.loc15","1",15,1.30679025180774
"1_3721305","1",15.807014,0.174970470542547
"c1.loc16","1",16,0.227026130822281
"1_3757997","1",16.119015,0.256625551821315
"1_3834552","1",16.432016,0.253406483072268
"1_3889266","1",16.902017,0.260198411699065
"c1.loc17","1",17,0.266547444935441
"1_4021184","1",17.999018,0.286049039619797
"c1.loc18","1",18,0.2863313375953
"1_4096008","1",18.667019,0.0435717766512482
"c1.loc19","1",19,0.37747403758334
"1_4197004","1",19.72802,0.40375928380962
"c1.loc20","1",20,0.00229356569747097
"1_4279268","1",20.599021,0.2883487716785
"c1.loc21","1",21,0.259526278455894
"1_4279373","1",21.676022,0.198690309049255
"c1.loc22","1",22,0.207683960686126
"c1.loc23","1",23,0.244455864192986
"c1.loc24","1",24,0.279504753496468
"c1.loc25","1",25,0.175781324160397
"c1.loc26","1",26,0.0189325705142096
"c1.loc27","1",27,0.00124753092208607
"c1.loc28","1",28,0.0144796042434052
"1_5767561","1",28.247023,0.0180219194462552
"c1.loc29","1",29,0.00517210379544508
"c1.loc30","1",30,0.000213143899827628
"c1.loc31","1",31,0.0104708009168348
"c1.loc32","1",32,0.035322444568834
"c1.loc33","1",33,0.072063460823756
"1_6289531","1",33.399024,0.0890683341032741
"1_6289507","1",33.637025,0.0825527176511116
"1_6307621","1",33.798026,0.478463776941851
"c1.loc34","1",34,0.430741053345599
"c1.loc35","1",35,0.28382476655699
"1_6691294","1",35.621027,0.2347001266169
"c1.loc36","1",36,0.257685744854456
"1_6749776","1",36.023028,0.257009755451918
"1_6743053","1",36.315029,0.17287249642132
"1_6912064","1",36.67603,0.178259620202283
"c1.loc37","1",37,0.177409611509034
"1_7042562","1",37.769031,0.173144642867527
"c1.loc38","1",38,0.172274895283522
"c1.loc39","1",39,0.136149778976431
"1_7253240","1",39.756032,0.0660575981842157
"c1.loc40","1",40,0.00152948163034239
"1_7356636","1",40.392033,0.00461525719018141
"c1.loc41","1",41,0.000205915966688508
"1_7356638","1",41.053034,9.42106863988101e-05
"c1.loc42","1",42,0.0250889191335375
"c1.loc43","1",43,0.301046405189851
"c1.loc44","1",44,0.333957356519306
"1_8516414","1",44.955035,0.195668436393817
"c1.loc45","1",45,0.202671956696946
"c1.loc46","1",46,0.547611231954107
"c1.loc47","1",47,0.0107986558026596
"1_9284785","1",47.441036,7.92540281793208e-05
"1_9424155","1",47.568037,0.000294925863386197
"1_9388557","1",47.908038,0.00310804401394194
"c1.loc48","1",48,0.00157994551219076
"1_9060903","1",48.456039,0.0620207771603702
"c1.loc49","1",49,0.0174086183465647
"1_9788875","1",49.92404,0.00223870909366042
"c1.loc50","1",50,0.00173490666773546
"c1.loc51","1",51,0.00121103212268281
"c1.loc52","1",52,0.012328428561176
"1_10830747","1",52.404041,0.0198219919633971
"c1.loc53","1",53,0.042542557158896
"1_11168597","1",53.396042,0.061812282579524
"c1.loc54","1",54,0.0372190570788575
"c1.loc55","1",55,0.174104028056718
"10_4018986","1",55.697043,0.123998276854252
"c1.loc56","1",56,0.12194251291325
"c1.loc57","1",57,0.111118488176345
"c1.loc58","1",58,0.0871978894214749
"c1.loc59","1",59,0.0335013163677331
"c1.loc60","1",60,0.00661069534112357
"c1.loc61","1",61,0.0754533025480555
"c1.loc62","1",62,0.112820563395047
"c1.loc63","1",63,0.126994069421613
"1_13433555","1",63.441044,0.130253282378646
"1_13411708","1",63.613045,0.113024880136123
"c1.loc64","1",64,0.128517482547466
"17_4735662","1",64.631046,0.142653187141661
"c1.loc65","1",65,0.14703295068017
"c1.loc66","1",66,0.159356739612235
"c1.loc67","1",67,0.172221414546925
"1_18477299","1",67.487047,0.178644067823853
"1_18216118","1",67.550048,0.266894476487181
"c1.loc68","1",68,0.261774480694385
"1_18957759","1",68.234049,0.259127705231776
"c1.loc69","1",69,0.0610756053836496
