"","chr","pos","lod"
"1_61235","1",0,0.0104916242111699
"c1.loc1","1",1,0.0555379500524964
"c1.loc2","1",2,0.0942560774720675
"1_929902","1",2.159001,0.0873443083259531
"1_666584","1",2.722002,0.121629149308944
"c1.loc3","1",3,0.116567604455355
"1_695458","1",3.271003,0.110433679263764
"1_666669","1",3.450004,0.110433171311058
"1_659894","1",3.682005,0.102171685896565
"c1.loc4","1",4,0.100125701474298
"c1.loc5","1",5,0.0624172142996144
"c1.loc6","1",6,0.00159457556671327
"c1.loc7","1",7,0.0387465071051452
"1_1688964","1",7.125006,0.0422670969315107
"c1.loc8","1",8,0.0816048302347383
"c1.loc9","1",9,0.19056219846621
"c1.loc10","1",10,0.240094353309416
"c1.loc11","1",11,0.117844841567546
"c1.loc12","1",12,0.0564385091799693
"1_2533272","1",12.043007,0.0549037644364319
"1_2537093","1",12.046008,0.0544332238985703
"1_2533185","1",12.046009,0.0544331892190826
"1_2880124","1",12.72101,4.2221519066743e-05
"c1.loc13","1",13,1.35488571006212
"1_3062243","1",13.423011,1.27005278666718
"1_3025844","1",13.477012,1.27390098246755
"c1.loc14","1",14,1.41165082926369
"1_3466266","1",14.151013,1.44572305356024
"c1.loc15","1",15,0.000902916720121993
"1_3721305","1",15.807014,1.53406167156967
"c1.loc16","1",16,1.80943314575643
"1_3757997","1",16.119015,1.92911591544694
"1_3834552","1",16.432016,1.90107491071171
"1_3889266","1",16.902017,1.95932983417075
"c1.loc17","1",17,2.06441946972862
"1_4021184","1",17.999018,2.66415960135711
"c1.loc18","1",18,2.66417505652873
"1_4096008","1",18.667019,0.234780245761272
"c1.loc19","1",19,0.076532335426208
"1_4197004","1",19.72802,2.39139110238219
"c1.loc20","1",20,0.00287485415120159
"1_4279268","1",20.599021,1.97459522296913
"c1.loc21","1",21,2.02563505047451
"1_4279373","1",21.676022,1.90571990034141
"c1.loc22","1",22,1.83950447488129
"c1.loc23","1",23,0.0594835809884557
"c1.loc24","1",24,0.0144212442412197
"c1.loc25","1",25,0.00858013431579252
"c1.loc26","1",26,0.122511022317525
"c1.loc27","1",27,0.255416816907882
"c1.loc28","1",28,0.310174682338982
"1_5767561","1",28.247023,0.315528892723421
"c1.loc29","1",29,0.322104360001902
"c1.loc30","1",30,0.313674187026123
"c1.loc31","1",31,0.806163396206983
"c1.loc32","1",32,0.925051267557649
"c1.loc33","1",33,1.01498654469162
"1_6289531","1",33.399024,1.04251134512219
"1_6289507","1",33.637025,1.03668392716699
"1_6307621","1",33.798026,1.3552770927688
"c1.loc34","1",34,1.34085034564245
"c1.loc35","1",35,1.25339169750842
"1_6691294","1",35.621027,1.2066969374425
"c1.loc36","1",36,1.38371880417165
"1_6749776","1",36.023028,1.38122768401581
"1_6743053","1",36.315029,1.02792389260995
"1_6912064","1",36.67603,1.0311880801888
"c1.loc37","1",37,1.01513593760089
"1_7042562","1",37.769031,0.962116702376051
