"","chr","pos","lod"
"1_465241","1",0,0.13297890601055
"c1.loc1","1",1,0.112543169048621
"c1.loc2","1",2,0.0909149159819265
"c1.loc3","1",3,0.0696230556369244
"1_465237","1",3.915001,0.0517261817920769
"c1.loc4","1",4,0.0517302943931384
"1_465283","1",4.059002,0.0517331485100101
"1_979448","1",4.995003,0.0252294165419187
"c1.loc5","1",5,0.0250447129265297
"1_972545","1",5.293004,0.0339351730718533
"1_1002947","1",5.712005,0.0535163232671891
"1_1002957","1",5.864006,0.039446904051573
"1_974823","1",5.871007,0.0394469061040184
"c1.loc6","1",6,0.054211386896668
"c1.loc7","1",7,0.232342422693279
"1_1388796","1",7.099008,0.25131140961085
"1_1248864","1",7.263009,0.0126474106722867
"1_1552607","1",7.60901,0.0137553301488254
"1_1552625","1",7.609011,0.0137999406969129
"c1.loc8","1",8,0.0150986057484488
"c1.loc9","1",9,0.0186364628460183
"1_1956021","1",9.720012,0.0213281394927378
"c1.loc10","1",10,0.0384141024756559
"c1.loc11","1",11,0.197552024031751
"1_2275959","1",11.738013,0.0203403445942172
"c1.loc12","1",12,0.0191664665802023
"c1.loc13","1",13,0.0144205678973037
"1_3046147","1",13.435014,0.0123951309286099
"c1.loc14","1",14,0.0130165857968052
"1_3170463","1",14.186015,0.0131538096341046
"1_3145449","1",14.449016,0.025425555274154
"1_3205026","1",14.729017,0.0235657600363481
"1_3268220","1",14.817018,0.0107312763696825
"c1.loc15","1",15,0.0123692196527827
"1_3232043","1",15.074019,0.0130609812230205
"c1.loc16","1",16,0.000607058545625705
"1_3738134","1",16.80702,0.00288572894871209
"c1.loc17","1",17,0.00295501060998049
"c1.loc18","1",18,0.0032996038862052
"c1.loc19","1",19,0.00359778972304525
"c1.loc20","1",20,0.0038298939177821
"c1.loc21","1",21,0.00398469605241303
"1_4279304","1",21.077021,0.00399323834179199
"c1.loc22","1",22,0.00890727082403941
"c1.loc23","1",23,0.018175439733227
"c1.loc24","1",24,0.0333870743369857
