            chr  pos   lod
7_7311056     1 33.4 0.742
2_5186881     2 46.0 0.311
c3.loc7       3  7.0 1.232
c4.loc67      4 67.0 2.000
5_23042550    5 63.4 0.791
6_17440350    6 42.1 1.048
7_23346134    7 75.9 0.806
c8.loc60      8 60.0 1.439
9_13407438    9 50.0 1.042
10_4125692   10 14.6 0.532
c11.loc49    11 49.0 1.914
c12.loc83    12 83.0 0.860
c13.loc8     13  8.0 2.148
14_788160    14  0.0 1.202
c15.loc1     15  1.0 1.581
c16.loc3     16  3.0 0.810
c17.loc4     17  4.0 7.171
c18.loc64    18 64.0 2.500
19_24491792  19 60.4 0.987
