"","chr","pos","lod"
"1_61235","1",0,0.094554715054926
"c1.loc1","1",1,0.0201558620344002
"c1.loc2","1",2,0.0705161585162415
"1_929902","1",2.159001,0.074185659017175
"1_666584","1",2.722002,0.0219593889814007
"c1.loc3","1",3,0.0133787267209726
"1_695458","1",3.271003,0.00707173875372291
"1_666669","1",3.450004,0.00707138947213082
"1_659894","1",3.682005,0.00671693754574676
"c1.loc4","1",4,0.00145041090318898
"c1.loc5","1",5,0.0748576639135337
"c1.loc6","1",6,0.400655918835639
"c1.loc7","1",7,0.272976543613126
"1_1688964","1",7.125006,0.261157142795895
"c1.loc8","1",8,0.295802980558847
"c1.loc9","1",9,0.272154727353637
"c1.loc10","1",10,0.019571339160521
"c1.loc11","1",11,0.0160181199759677
"c1.loc12","1",12,0.0511965432525301
"1_2533272","1",12.043007,0.0524200274843594
"1_2537093","1",12.046008,0.0523657461827298
"1_2533185","1",12.046009,0.0523657743482175
"1_2880124","1",12.72101,0.0395010981185777
"c1.loc13","1",13,0.0323626249996778
"1_3062243","1",13.423011,0.0220748603123013
"1_3025844","1",13.477012,0.0224088273876504
"c1.loc14","1",14,0.000382873409009221
"1_3466266","1",14.151013,0.000335949683901049
"c1.loc15","1",15,0.0206897861972948
"1_3721305","1",15.807014,0.000719749857722718
"c1.loc16","1",16,0.0104859858343929
"1_3757997","1",16.119015,0.0312387151808906
"1_3834552","1",16.432016,0.0323591399239831
"1_3889266","1",16.902017,0.0285071021550181
"c1.loc17","1",17,0.0199269004471034
"1_4021184","1",17.999018,0.0382034800561968
"c1.loc18","1",18,0.0382926212701733
"1_4096008","1",18.667019,0.0958963949075553
"c1.loc19","1",19,0.0935060199747824
"1_4197004","1",19.72802,0.0115175644364598
"c1.loc20","1",20,0.081705240243295
"1_4279268","1",20.599021,0.00399620940940792
"c1.loc21","1",21,0.0147437971478723
"1_4279373","1",21.676022,0.0462858711427288
"c1.loc22","1",22,0.0673969869846189
"c1.loc23","1",23,0.215676385372703
"c1.loc24","1",24,0.712488999117369
"c1.loc25","1",25,1.62058461550318
"c1.loc26","1",26,1.27820119092679
"c1.loc27","1",27,0.754178989813411
"c1.loc28","1",28,0.498326928731927
"1_5767561","1",28.247023,0.458552539550126
"c1.loc29","1",29,0.375920709813613
"c1.loc30","1",30,0.269241412534853
"c1.loc31","1",31,0.17372611098267
"c1.loc32","1",32,0.0963594437479571
"c1.loc33","1",33,0.0414753252796061
"1_6289531","1",33.399024,0.0262546080884363
"1_6289507","1",33.637025,0.0253104698888933
"1_6307621","1",33.798026,0.112057705625489
"c1.loc34","1",34,0.104494690210672
"c1.loc35","1",35,0.0791014650000648
"1_6691294","1",35.621027,0.0697601784958408
"c1.loc36","1",36,0.153835264235525
"1_6749776","1",36.023028,0.158933203378282
"1_6743053","1",36.315029,0.0347984863651334
"1_6912064","1",36.67603,0.036172428024841
"c1.loc37","1",37,0.0394628107366088
"1_7042562","1",37.769031,0.0473895913749089
"c1.loc38","1",38,0.0481712154099512
"c1.loc39","1",39,0.0516395827330172
"1_7253240","1",39.756032,0.00376962011092985
"c1.loc40","1",40,0.0495248424867185
"1_7356636","1",40.392033,0.0495270368762277
"c1.loc41","1",41,0.195741379123888
"1_7356638","1",41.053034,0.21224233800649
"c1.loc42","1",42,0.0900547950768527
"c1.loc43","1",43,0.0844566163603702
"c1.loc44","1",44,0.631829446832768
"1_8516414","1",44.955035,0.619621630200626
"c1.loc45","1",45,0.634489723132333
"c1.loc46","1",46,1.03090592805086
"c1.loc47","1",47,0.00437119220838156
