"","chr","pos","lod"
"1_465241","1",0,0.347440637372813
"c1.loc1","1",1,0.326003200656658
"c1.loc2","1",2,0.296411566449649
"c1.loc3","1",3,0.260726438858683
"1_465237","1",3.915001,0.225328330706247
"c1.loc4","1",4,0.225330318829151
"1_465283","1",4.059002,0.22533169843615
"1_979448","1",4.995003,0.236110061803629
"c1.loc5","1",5,0.231698509003138
"1_972545","1",5.293004,0.520409183144238
"1_1002947","1",5.712005,0.326753589923442
"1_1002957","1",5.864006,0.331455821392979
"1_974823","1",5.871007,0.331455920611006
"c1.loc6","1",6,0.31163004314817
"c1.loc7","1",7,0.127829055744371
"1_1388796","1",7.099008,0.111618984417532
"1_1248864","1",7.263009,0.417380912997601
"1_1552607","1",7.60901,0.420104335062661
"1_1552625","1",7.609011,0.420162962481925
"c1.loc8","1",8,0.423037086844943
"c1.loc9","1",9,0.429438810400256
"1_1956021","1",9.720012,0.433143689277983
"c1.loc10","1",10,0.421059951478242
"c1.loc11","1",11,0.205683135953279
"1_2275959","1",11.738013,0.40091334952433
"c1.loc12","1",12,0.423067078993597
"c1.loc13","1",13,0.494247558546761
"1_3046147","1",13.435014,0.516160400958256
"c1.loc14","1",14,0.509111753699301
"1_3170463","1",14.186015,0.506519256735658
"1_3145449","1",14.449016,0.524408940699004
"1_3205026","1",14.729017,0.740897481413299
"1_3268220","1",14.817018,0.730064053140325
"c1.loc15","1",15,0.767340540437658
"1_3232043","1",15.074019,0.782434714191027
"c1.loc16","1",16,0.82697794786327
"1_3738134","1",16.80702,0.833123513920441
"c1.loc17","1",17,0.847562868349087
"c1.loc18","1",18,0.916823359383159
"c1.loc19","1",19,0.972499860524579
"c1.loc20","1",20,1.01129077700949
"c1.loc21","1",21,1.03179556990096
"1_4279304","1",21.077021,1.03261485196799
"c1.loc22","1",22,0.924759930006815
"c1.loc23","1",23,0.776837718057777
"c1.loc24","1",24,0.594872093119989
"c1.loc25","1",25,0.38801498295021
"c1.loc26","1",26,0.186259348617739
"c1.loc27","1",27,0.0412601603241569
"c1.loc28","1",28,0.00176768468173805
"c1.loc29","1",29,0.0760312198197539
"c1.loc30","1",30,0.226762458519488
"c1.loc31","1",31,0.404098404176523
"c1.loc32","1",32,0.57352189651067
"c1.loc33","1",33,0.719980007999709
"7_7311056","1",33.364022,0.766542882502677
"c1.loc34","1",34,0.799944440914771
"c1.loc35","1",35,0.851259599753121
"c1.loc36","1",36,0.899235117372427
"c1.loc37","1",37,0.941883362271483
"c1.loc38","1",38,0.97724969981374
"c1.loc39","1",39,1.00363658759755
"c1.loc40","1",40,1.01982434726398
"c1.loc41","1",41,1.02523668282817
"c1.loc42","1",42,1.02000838416916
"c1.loc43","1",43,1.00493918018742
"c1.loc44","1",44,0.981350430961641
"c1.loc45","1",45,0.950885852719352
"c1.loc46","1",46,0.915304698761133
"c1.loc47","1",47,0.876306471190389
"11_7995636","1",47.189023,0.868740694227597
"c1.loc48","1",48,0.977883138168863
"c1.loc49","1",49,1.10830844167685
"c1.loc50","1",50,1.22652249057842
"c1.loc51","1",51,1.32573484388024
"c1.loc52","1",52,1.40146427317711
"3_20634638","1",52.012024,1.40221521225658
"18_3644857","1",52.520025,1.21777274351132
"11_7995637","1",52.770026,1.21752942297502
"c1.loc53","1",53,1.13734772085047
"c1.loc54","1",54,0.751401867504967
"1_12207498","1",54.309027,0.632774486555149
"c1.loc55","1",55,0.495937013857599
"c1.loc56","1",56,0.0111578900553582
"c1.loc57","1",57,1.13343010794961
"c1.loc58","1",58,1.12581947871161
"14_16990480","1",58.475028,1.09309355671354
"1_16852366","1",58.634029,1.09505818466045
"c1.loc59","1",59,1.0024287323559
"18_33759636","1",59.82903,0.745755895292461
"c1.loc60","1",60,0.770582396768248
"1_17586659","1",60.200031,0.796571595087471
"1_18503714","1",60.699032,0.964302902412214
"1_18231605","1",60.886033,1.14821193658349
