"","chr","pos","lod"
"1_465241","1",0,0.190187384834616
"c1.loc1","1",1,0.179988390571623
"c1.loc2","1",2,0.163345998606729
"c1.loc3","1",3,0.141617007844246
"1_465237","1",3.915001,0.11942360388062
"c1.loc4","1",4,0.120778425064998
"1_465283","1",4.059002,0.121722248785375
"1_979448","1",4.995003,0.0319044005163391
"c1.loc5","1",5,0.0305182047973744
"1_972545","1",5.293004,0.155103103636094
"1_1002947","1",5.712005,0.210266810682697
"1_1002957","1",5.864006,0.217287988246909
"1_974823","1",5.871007,0.21728842384573
"c1.loc6","1",6,0.231431152940274
"c1.loc7","1",7,0.262023716250781
"1_1388796","1",7.099008,0.255667732294143
"1_1248864","1",7.263009,0.341886476731133
"1_1552607","1",7.60901,0.335045582273068
"1_1552625","1",7.609011,0.334845773632139
"c1.loc8","1",8,0.326951368406611
"c1.loc9","1",9,0.306029647690508
"1_1956021","1",9.720012,0.290635567892735
"c1.loc10","1",10,0.354301591113568
"c1.loc11","1",11,0.0963693549551579
"1_2275959","1",11.738013,0.0228256537339178
"c1.loc12","1",12,0.0376895617490334
"c1.loc13","1",13,0.122655230967894
"1_3046147","1",13.435014,0.168079125468637
"c1.loc14","1",14,0.180914140409186
"1_3170463","1",14.186015,0.185107948465884
"1_3145449","1",14.449016,0.243341624925193
"1_3205026","1",14.729017,0.275988771296454
"1_3268220","1",14.817018,0.284840744820997
"c1.loc15","1",15,0.297326386523935
"1_3232043","1",15.074019,0.30232396842726
"c1.loc16","1",16,0.298352869911099
"1_3738134","1",16.80702,0.284316500292448
"c1.loc17","1",17,0.284451897135142
"c1.loc18","1",18,0.281700271997607
"c1.loc19","1",19,0.273067950125295
"c1.loc20","1",20,0.259051654348639
"c1.loc21","1",21,0.240795220759821
"1_4279304","1",21.077021,0.239269808585362
"c1.loc22","1",22,0.213891440728844
"c1.loc23","1",23,0.17869484965658
"c1.loc24","1",24,0.134782900760797
"c1.loc25","1",25,0.0843442754144235
"c1.loc26","1",26,0.0357795394102141
"c1.loc27","1",27,0.00442177362668872
"c1.loc28","1",28,0.00416068059638519
"c1.loc29","1",29,0.034582916089704
"c1.loc30","1",30,0.0815927586732244
"c1.loc31","1",31,0.13038555511352
