"","chr","pos","lod"
"1_465241","1",0,0.0149868217532685
"c1.loc1","1",1,0.0118355488832833
"c1.loc2","1",2,0.00853845626846805
"c1.loc3","1",3,0.00548283000536287
"1_465237","1",3.915001,0.00319387678817407
"c1.loc4","1",4,0.00316394158289768
"1_465283","1",4.059002,0.0031432090095791
"1_979448","1",4.995003,0.00619785192596112
"c1.loc5","1",5,0.0066198942226805
"1_972545","1",5.293004,0.00593329099750406
"1_1002947","1",5.712005,0.000491991841869321
"1_1002957","1",5.864006,0.000132493926301436
"1_974823","1",5.871007,0.000132493719235072
"c1.loc6","1",6,9.1170883578684e-05
"c1.loc7","1",7,6.34106513359711e-05
"1_1388796","1",7.099008,9.10711490718086e-05
"1_1248864","1",7.263009,0.0255884472587411
"1_1552607","1",7.60901,0.0285535983980765
"1_1552625","1",7.609011,0.0286412851500728
"c1.loc8","1",8,0.0321609245380614
"c1.loc9","1",9,0.0419371487807894
"1_1956021","1",9.720012,0.049507830942062
"c1.loc10","1",10,0.0601887487125623
"c1.loc11","1",11,0.0180660794723906
"1_2275959","1",11.738013,0.00336820869742382
"c1.loc12","1",12,0.00194424496328338
"c1.loc13","1",13,8.85001936836716e-05
"1_3046147","1",13.435014,0.000979711311160258
"c1.loc14","1",14,0.000304757130493272
"1_3170463","1",14.186015,0.000166712463538943
"1_3145449","1",14.449016,0.00250297816656087
"1_3205026","1",14.729017,0.00236059746916339
"1_3268220","1",14.817018,3.86711684541297e-06
"c1.loc15","1",15,6.16398733654933e-06
"1_3232043","1",15.074019,1.8324023869809e-05
"c1.loc16","1",16,0.0153130339445511
"1_3738134","1",16.80702,0.0546689801004874
"c1.loc17","1",17,0.0508332814838894
"c1.loc18","1",18,0.0321806775126419
"c1.loc19","1",19,0.0169718508227419
"c1.loc20","1",20,0.00638079742357434
"c1.loc21","1",21,0.000904127566485613
"1_4279304","1",21.077021,0.000693837365346894
"c1.loc22","1",22,0.0013946532318414
"c1.loc23","1",23,0.00267927292770764
"c1.loc24","1",24,0.00476676330620762
"c1.loc25","1",25,0.00790699503875203
"c1.loc26","1",26,0.0120880063573594
"c1.loc27","1",27,0.0166677129127493
"c1.loc28","1",28,0.0204070081778696
"c1.loc29","1",29,0.0223254476988046
"c1.loc30","1",30,0.0224316667882789
"c1.loc31","1",31,0.0213952133597672
"c1.loc32","1",32,0.0198844729779211
"c1.loc33","1",33,0.0183053339329291
"7_7311056","1",33.364022,0.0177576335608478
"c1.loc34","1",34,0.0163236720116089
"c1.loc35","1",35,0.0139923104098472
"c1.loc36","1",36,0.0116292750627878
"c1.loc37","1",37,0.00930617321687066
"c1.loc38","1",38,0.00710336088951635
"c1.loc39","1",39,0.00510241076875673
"c1.loc40","1",40,0.00337705749325323
"c1.loc41","1",41,0.00198449465838735
"c1.loc42","1",42,0.000959049846628091
"c1.loc43","1",43,0.000309659095165671
"c1.loc44","1",44,2.1432381544173e-05
"c1.loc45","1",45,6.04604027643063e-05
"c1.loc46","1",46,0.000380332080823109
"c1.loc47","1",47,0.000928779904512567
"11_7995636","1",47.189023,0.00105275812329353
"c1.loc48","1",48,0.00201378813540032
"c1.loc49","1",49,0.00364185631285352
"c1.loc50","1",50,0.00571874688661467
"c1.loc51","1",51,0.00816277254745046
"c1.loc52","1",52,0.0108598713189281
"3_20634638","1",52.012024,0.010892990202052
"18_3644857","1",52.520025,0.0209264059652412
"11_7995637","1",52.770026,0.0181536091816952
"c1.loc53","1",53,0.0257258633459259
"c1.loc54","1",54,0.075041006396745
"1_12207498","1",54.309027,0.0944268324369801
"c1.loc55","1",55,0.101756777986807
"c1.loc56","1",56,0.0943423555246312
"c1.loc57","1",57,0.0114680105355376
"c1.loc58","1",58,0.0425285602812409
"14_16990480","1",58.475028,0.0490137666812842
"1_16852366","1",58.634029,0.0539293966273249
"c1.loc59","1",59,0.0619192241716746
"18_33759636","1",59.82903,0.0781602567709996
"c1.loc60","1",60,0.0812701910316349
"1_17586659","1",60.200031,0.0845838293411418
"1_18503714","1",60.699032,0.180140691519583
"1_18231605","1",60.886033,0.180690125633035
"c1.loc61","1",61,0.207460178854262
"1_19075514","1",61.152034,0.24338605527474
"1_19145591","1",61.270035,0.332034821801116
"c1.loc62","1",62,0.187500354960207
"1_19658001","1",62.586036,0.113452688028019
"1_19658214","1",62.656037,0.115002953690436
"1_19637644","1",62.776038,0.16625826804426
"c1.loc63","1",63,0.169973192200843
"1_19817756","1",63.337039,0.172860701270764
"1_20356240","1",63.78704,0.154803785062995
"c1.loc64","1",64,0.163361137423479
"1_19614222","1",64.750041,0.216959352584325
"c1.loc65","1",65,0.130677822047772
"1_20669875","1",65.163042,0.105530097898338
"c1.loc66","1",66,0.0654432784030661
"1_20743986","1",66.848043,0.0329417122732707
"1_20954387","1",66.848044,0.0326474392495584
"c1.loc67","1",67,0.0279967199317923
