"","chr","pos","lod"
"S1_971978","1",0,0.139500520089328
"c1.loc1","1",1,0.105455690301639
"c1.loc2","1",2,0.0117622561701722
"c1.loc3","1",3,0.0580468866283326
"c1.loc4","1",4,0.120423824760877
"S1_465241","1",4.305001,0.128956913836006
"c1.loc5","1",5,0.0719279890900708
"c1.loc6","1",6,0.00973229660640129
"c1.loc7","1",7,0.549848105458267
"c1.loc8","1",8,0.557630496556072
"S1_972545","1",8.963002,0.486416982256515
"c1.loc9","1",9,0.483554175022007
"S1_1002947","1",9.584003,0.428555409609487
"S1_1002957","1",9.810004,0.429919868586651
"S1_974823","1",9.958005,0.42989569325654
"c1.loc10","1",10,0.221055814416488
"S1_979448","1",10.022006,0.0484247213526743
"c1.loc11","1",11,0.0704598136886148
"S1_1388796","1",11.394007,0.0788564526330902
"S1_1248864","1",11.539008,0.0573431458377769
"S1_1552607","1",11.879009,0.0100123820749758
"S1_1552625","1",11.87901,0.00913147340169473
"c1.loc12","1",12,0.00157091036309964
"c1.loc13","1",13,0.164174732114063
"c1.loc14","1",14,0.373691407767893
"c1.loc15","1",15,0.461380146485794
"S1_2275959","1",15.737011,0.489362602099604
"c1.loc16","1",16,0.474819295821959
"c1.loc17","1",17,0.403318173466857
"S1_3046147","1",17.353012,0.374357768910983
"c1.loc18","1",18,0.358396032792456
"S1_3268220","1",18.498013,0.343418737894766
"S1_3205026","1",18.636014,0.348947483086349
"c1.loc19","1",19,0.341977588820228
"S1_3232043","1",19.074015,0.34045143373406
"c1.loc20","1",20,0.33197454932521
"c1.loc21","1",21,0.3192260933249
"c1.loc22","1",22,0.301633543859637
"c1.loc23","1",23,0.277944401999292
"c1.loc24","1",24,0.247072217820588
"c1.loc25","1",25,0.208651321253086
"c1.loc26","1",26,0.163852479353181
"c1.loc27","1",27,0.116102170738529
"c1.loc28","1",28,0.0709373939247229
"c1.loc29","1",29,0.0344123528973057
"c1.loc30","1",30,0.0107025853352951
"c1.loc31","1",31,0.000633062546455676
"c1.loc32","1",32,0.00210566052314221
"c1.loc33","1",33,0.0116755529086277
"c1.loc34","1",34,0.025978722436804
"c1.loc35","1",35,0.0424296015596184
"c1.loc36","1",36,0.0593227978490631
"S7_7311056","1",36.972016,0.0752134039258152
"c1.loc37","1",37,0.0752175021568604
"c1.loc38","1",38,0.0751077765097676
"c1.loc39","1",39,0.0744507115725668
"c1.loc40","1",40,0.0731922328666741
"c1.loc41","1",41,0.0713038000987325
"c1.loc42","1",42,0.0687895322575827
"c1.loc43","1",43,0.0656899113519387
"c1.loc44","1",44,0.0620807227741267
"c1.loc45","1",45,0.0580669340172193
"c1.loc46","1",46,0.0537724962689197
"c1.loc47","1",47,0.0493280827616189
"c1.loc48","1",48,0.0448591523839781
"c1.loc49","1",49,0.0404763559868258
"c1.loc50","1",50,0.0362694262633454
"c1.loc51","1",51,0.0323047093643396
"S11_7995636","1",51.363017,0.0309430367174315
"c1.loc52","1",52,0.0394399555927123
"c1.loc53","1",53,0.0547941213812919
"c1.loc54","1",54,0.0720673025864613
"c1.loc55","1",55,0.0905048305784817
"c1.loc56","1",56,0.109234104420111
"S3_20634638","1",56.061018,0.110356312151154
"S11_7995637","1",56.900019,0.129795414808271
"c1.loc57","1",57,0.164613981335975
"S18_3644857","1",57.05802,0.183670133419014
"c1.loc58","1",58,0.278392468518376
"S1_12207498","1",58.610021,0.339263334982647
"c1.loc59","1",59,0.358413376936085
"c1.loc60","1",60,0.424954943250128
"c1.loc61","1",61,0.00650788092157484
"c1.loc62","1",62,0.0858518282451968
"S14_16990480","1",62.771022,0.133135184481745
"S1_16909094","1",62.926023,0.142796813546511
"c1.loc63","1",63,0.149176810244242
"c1.loc64","1",64,0.238685156773542
"S18_33759636","1",64.186024,0.254158614171914
"S1_17586659","1",64.521025,0.237665577542032
"c1.loc65","1",65,0.0601891297816479
"S1_18503714","1",65.027026,0.0394279807121336
"S1_18231605","1",65.246027,0.104251625299412
"S1_19145591","1",65.582028,0.0612537927560055
"c1.loc66","1",66,0.113394488641063
"S1_19658001","1",66.946029,0.211801223635959
"c1.loc67","1",67,0.210143089802543
"S1_19658214","1",67.02003,0.209521662168939
"S1_19637644","1",67.161031,0.631281699797157
"S1_19817756","1",67.822032,0.540739361190163
"c1.loc68","1",68,0.606620103334919
"S1_19614222","1",68.925033,1.36382355028981
"c1.loc69","1",69,1.28821138236671
"S1_20669875","1",69.639034,0.284726048546517
"c1.loc70","1",70,0.295870070678149
"c1.loc71","1",71,0.316973621977482
"S1_20954387","1",71.311035,0.320135207697206
"S1_20743986","1",71.311036,0.321037975159825
"S1_21209235","1",71.747037,0.32267048916593
"c1.loc72","1",72,0.011448776326489
"S1_20779520","1",72.250038,0.245531818084274
"c1.loc73","1",73,0.233433931100279
"c1.loc74","1",74,0.213183610060852
"c1.loc75","1",75,0.188779893103174
"c1.loc76","1",76,0.161419374910352
"c1.loc77","1",77,0.132828871342909
"c1.loc78","1",78,0.104919544679774
"c1.loc79","1",79,0.0793768559734502
"c1.loc80","1",80,0.0573591034569603
"S1_23969825","1",80.165039,0.0541362885552843
"S1_23481368","1",80.29204,0.0583237725901142
"S1_23828951","1",80.546041,0.00166858351282428
"S2_115881","2",0,0.0889598948556909
"S2_260589","2",0.505001,0.384297880104384
"c2.loc1","2",1,0.176157621692681
"c2.loc2","2",2,0.0149246713633886
"S2_950882","2",2.571002,0.00502679261532535
"c2.loc3","2",3,0.000209196695905689
"S2_950864","2",3.074003,2.34985247118402e-05
"c2.loc4","2",4,0.00029379787599737
"S2_1313505","2",4.661004,0.000663879407653667
"S2_1313537","2",4.839005,3.24256578068116e-05
"S2_1280278","2",4.854006,2.17474714361288e-05
"c2.loc5","2",5,0.00186327887240623
"c2.loc6","2",6,0.0484154317825443
"S2_1743159","2",6.163007,0.0391419402110103
"S2_1760574","2",6.300008,0.027556667723303
"c2.loc7","2",7,0.0326141052903495
"c2.loc8","2",8,0.0402813233500012
